sample_id,1,2,3,4,5,6,7,8,9,10,11,12.13,14,15,16,17,18.3,19,20.28,21.33,22,23,24,25,26.29,27,31,32,34,35,36,37,38,39,40.71,41,42,43,44.47.65,45,46,48,49.69,50.53,51,52,54,55,56,57,58,59.62.75,60,61.70.74.76,63,64,66,67,68,72,73,77,78,79,80,81,82,83,84,85.116,86.97.109.119,87.125,88,89,90.101.113,91,92,93.1,94,95,96,98,99,102,103,104,105,106,107,108.124,110,111,112,114,115,117,118,120,121,122,123,126,127,128.166,129.138.163,130,131,132,133,134,135.151,136,137,139.14,141,142,143,144,145,146,147.149,148,150,152,153.168,154,155,156.157,158,159,160,161,162,164,165,167,169,170,171.173,172,174,175,176,177,178,179,180.193,181,182,183,184,185,186,187,188,189,190,191,192,194,195,196,197,198.199,200,201,202,203,205,206,207,208,209,sum
S620,3.149,0.215,1.079,1.058,0.08,0.373,0.155,1.358,0.189,0.071,0.059,0.1,0,0.268,0.188,0.192,0.454,0.069,0.326,0.24,0.138,0.001,0.007,0.032,0.065,0.029,0.39,0.115,0.001,0.004,0,0.065,0.002,0,0.22,0.043,0.134,0.019,0.937,0.101,0.035,0.107,0.547,0.117,0.015,2.79,0.002,0.005,0.158,0.001,0.001,0.034,0.098,1.486,0.024,0.343,0.385,0.008,0.002,0.001,0.003,0.01,0,0.022,0,0.002,0.225,0.119,0.762,0.27,0.589,0.851,0.009,0.026,2.53,0.355,0.547,0.019,0.012,3.075,0.027,0.003,0.928,0.077,0.016,0,0.377,0,0.061,0.049,1.83,0,0.001,0.026,0.054,0.048,1.028,0,0,0.018,0.015,0.001,0,0.118,0.878,0.067,0.032,0.463,0.017,0.102,0.415,0.299,0.068,0.038,0.165,0.001,0.006,0.085,0.002,0.114,0.943,0.002,0.003,0.004,0.685,0.012,0,0.068,0.094,0.001,0,0,0.002,0.052,0,0.026,0,0.039,0.028,0.01,0.064,0.005,0.019,0.038,0.016,0.041,0.085,0.001,0.001,0.045,0.001,0.003,0,0.076,0,0.002,0.011,0.002,0,0.008,0.006,0.007,0,0.023,0.001,0.003,0.009,0.015,0.001,0.004,0.002,0.005,0.006,37.413
S643,0.45,0.055,0.28,0.199,0.026,0.122,0.041,0.411,0.049,0.015,0.065,0.046,0,0.13,0.091,0.088,0.215,0.021,0.204,0.142,0.09,0,0.004,0.016,0.033,0.014,0.244,0.059,0.001,0.003,0,0.042,0.003,0,0.25,0.043,0.142,0.019,1.182,0.08,0.026,0.099,0.638,0.093,0.008,3.406,0.001,0.004,0.19,0.002,0,0.032,0.113,2.368,0.031,0.444,0.54,0.01,0.001,0.001,0.004,0.014,0.001,0.032,0.001,0.001,0.336,0.147,1.056,0.393,0.865,1.188,0.017,0.043,3.745,0.461,0.809,0.018,0.016,4.366,0.031,0.005,1.371,0.1,0.022,0,0.573,0.001,0.117,0.097,2.867,0,0.002,0.048,0.078,0.062,1.863,0.002,0,0.028,0.029,0.001,0.001,0.153,1.365,0.101,0.058,0.778,0.028,0.18,0.674,0.457,0.114,0.07,0.242,0.003,0.009,0.14,0.003,0.186,1.588,0.003,0.005,0.007,1.052,0.022,0,0.076,0.149,0,0,0,0.004,0.073,0,0.031,0,0.034,0.027,0.004,0.058,0.005,0.019,0.038,0.015,0.05,0.062,0.001,0.002,0.045,0.002,0.003,0,0.067,0.001,0.003,0.009,0.001,0,0.007,0.005,0.006,0.001,0.012,0.001,0.003,0.006,0.01,0,0.001,0.002,0.001,0.003,41.77
S648,1.818,0.227,1.141,0.823,0.081,0.434,0.153,1.482,0.178,0.059,0.188,0.146,0.001,0.394,0.275,0.264,0.613,0.071,0.64,0.46,0.266,0.001,0.01,0.052,0.112,0.039,0.746,0.174,0.002,0.01,0,0.132,0,0,0.691,0.113,0.376,0.045,2.876,0.181,0.068,0.264,1.477,0.209,0.036,7.317,0.002,0.01,0.661,0.004,0,0.086,0.369,6.533,0.081,1.163,1.786,0.022,0.007,0.005,0.019,0.033,0,0,0,0,1.13,0.696,3.419,1.349,2.846,3.66,0.006,0.123,11.594,1.426,2.436,0.046,0.041,12.292,0.077,0.004,3.666,0.264,0.056,0.001,1.795,0,0.341,0.279,8.684,0,0.002,0.134,0.139,0.209,5.608,0,0,0.069,0.088,0,0,0.441,3.932,0.301,0.163,2.314,0.078,0.56,2.176,1.417,0.331,0.195,0.751,0.003,0.022,0.435,0.007,0.56,5.034,0.007,0.012,0.017,3.307,0.059,0.001,0.2,0.439,0.003,0,0,0.008,0.216,0.001,0.082,0,0.059,0.066,0.018,0.155,0.015,0.066,0.093,0.05,0.184,0.14,0.007,0.004,0.137,0.003,0.017,0.001,0.212,0.002,0.001,0.012,0.004,0,0.004,0.003,0.006,0.002,0.016,0.005,0.007,0.012,0.01,0,0.003,0.001,0.002,0.002,122.299
S649,1.74,0.207,1.042,0.876,0.078,0.421,0.153,1.45,0.178,0.061,0.209,0.127,0.001,0.336,0.258,0.251,0.601,0.072,0.585,0.411,0.245,0.001,0.01,0.047,0.102,0.037,0.722,0.166,0.002,0.007,0,0.131,0,0,0.776,0.125,0.426,0.044,3.305,0.191,0.072,0.294,1.685,0.228,0.04,8.52,0.002,0.009,0.759,0.003,0,0.093,0.422,7.658,0.094,1.344,2.071,0.02,0.005,0.005,0.003,0.036,0,0,0,0,1.381,0.971,4.144,1.621,3.649,4.399,0.002,0.146,14.265,1.741,2.98,0.054,0.054,14.852,0.09,0.003,4.494,0.328,0.067,0,2.318,0,0.422,0.342,10.804,0,0.002,0.173,0.176,0.307,7.081,0,0,0.09,0.107,0,0,0.569,5.031,0.38,0.202,2.882,0.095,0.697,2.599,1.673,0.423,0.238,0.934,0.003,0.025,0.522,0.009,0.694,6.111,0.008,0.014,0.02,4.126,0.071,0.001,0.257,0.558,0.003,0,0,0.01,0.272,0.001,0.105,0,0.074,0.082,0.021,0.176,0.016,0.073,0.108,0.054,0.191,0.164,0.01,0.004,0.157,0.002,0.018,0.001,0.23,0.002,0.002,0.015,0.005,0,0.005,0.003,0.006,0.002,0.018,0.004,0.006,0.012,0.011,0,0.007,0.001,0.003,0.003,145.834
S650,1.493,0.166,0.839,0.593,0.057,0.293,0.106,0.946,0.127,0.041,0.088,0.062,0,0.185,0.124,0.126,0.366,0.049,0.247,0.201,0.116,0.001,0.005,0.022,0.048,0.019,0.31,0.081,0,0.003,0,0.069,0.001,0,0.324,0.05,0.181,0.015,1.191,0.078,0.028,0.112,0.612,0.091,0.011,2.994,0,0,0.325,0,0,0.029,0.171,2.786,0.039,0.515,0.743,0.008,0,0,0.003,0.016,0,0,0,0,0.427,0.17,1.169,0.513,0.945,1.506,0.009,0.051,3.975,0.496,0.82,0.015,0.013,4.063,0.027,0.004,2.076,0.126,0.021,0,0.748,0,0.102,0.089,3.4,0.001,0.001,0.04,0.048,0.074,1.699,0,0,0.02,0.03,0,0,0.237,1.777,0.129,0.074,0.981,0.036,0.242,1.247,0.808,0.153,0.087,0.39,0.002,0.009,0.235,0.003,0.316,2.166,0.003,0.005,0.01,1.95,0.033,0,0.113,0.203,0,0,0,0.001,0.101,0,0.041,0,0.026,0.048,0.008,0.079,0.008,0.041,0.062,0.026,0.095,0.063,0.002,0.001,0.093,0.001,0.003,0,0.114,0,0.002,0.008,0.001,0,0.003,0.002,0.001,0,0.01,0,0.001,0.002,0.003,0,0,0,0,0,51.851
S616,2.366,0.22,1.14,0.675,0.063,0.3,0.125,0.967,0.143,0.056,0.041,0.078,0,0.2,0.073,0.07,0.156,0.027,0.114,0.092,0.051,0,0.003,0.018,0.027,0.012,0.136,0.036,0,0.003,0,0.001,0,0,0.104,0.018,0.051,0.003,0.528,0.03,0.009,0.032,0.265,0.038,0.002,1.551,0,0,0.107,0,0,0.009,0.059,1.197,0.011,0.207,0.255,0,0,0,0.004,0.011,0,0.006,0,0,0.207,0.069,0.579,0.232,0.46,0.76,0.002,0.026,1.864,0.241,0.438,0.006,0.008,1.927,0.015,0.001,0.949,0.064,0.006,0,0,0,0.056,0.044,1.782,0,0,0.021,0.019,0.038,0.901,0,0,0.012,0.014,0,0,0.154,1.141,0.088,0.042,0.578,0.023,0.126,0.672,0.413,0.096,0.042,0.247,0,0.003,0.124,0.001,0.188,1.199,0,0.003,0.004,1.166,0.019,0,0.079,0.126,0,0,0,0,0.071,0,0.029,0,0.032,0.033,0.001,0.078,0.005,0.025,0.056,0.02,0.061,0.067,0,0,0.069,0.004,0.003,0,0.096,0.001,0,0.005,0.001,0,0,0.001,0,0,0.005,0,0.001,0.001,0.001,0,0,0,0,0,29.636
S621,4.531,0.456,2.447,1.392,0.164,0.733,0.296,2.509,0.31,0.115,0.072,0.199,0,0.523,0.185,0.167,0.424,0.062,0.377,0.277,0.171,0.001,0.01,0.042,0.074,0.028,0.441,0.125,0.002,0,0,0,0.006,0,0.516,0.077,0.286,0.001,2.347,0.121,0.042,0.159,1.128,0.168,0.019,6.688,0,0.002,0.552,0,0,0.049,0.298,5.799,0.058,0.953,1.287,0.011,0,0,0,0.047,0,0.025,0,0.001,1.302,0.469,2.747,1.42,2.453,4.413,0.014,0.077,9.179,1.127,1.931,0.025,0.034,9.892,0.06,0.002,5.217,0.259,0.055,0,3.845,0,0.421,0.35,11.682,0,0.001,0.162,0.075,0.173,7.412,0,0,0.1,0.106,0,0.001,1.773,12.554,0.841,0.299,4.697,0.157,0.951,3.941,2.189,0.893,0.299,2.287,0.004,0.029,0.752,0.008,1.614,8.251,0.01,0.016,0.021,10.726,0.089,0,1.347,1.429,0.001,0.001,0,0.011,0.684,0,0.421,0,0.315,0.404,0.075,0.611,0.048,0.156,0.484,0.124,0.277,0.605,0.035,0.002,0.639,0.001,0.043,0.001,0.698,0.002,0.013,0.057,0.018,0,0.01,0.013,0.015,0.001,0.026,0.003,0.004,0.006,0.017,0.001,0.002,0.001,0.001,0,162.787
S657,2.046,0.209,1.089,0.71,0.077,0.366,0.148,1.235,0.158,0.055,0.05,0.143,0,0.361,0.098,0.104,0.206,0.03,0.212,0.159,0.089,0,0.006,0.024,0.044,0.017,0.224,0.062,0,0.005,0,0.052,0.001,0,0.154,0.02,0.083,0.001,0.723,0.052,0.017,0.052,0.362,0.05,0.004,1.95,0,0,0.159,0,0,0.018,0.065,1.755,0.02,0.287,0.428,0,0,0,0,0.004,0,0.013,0,0,0.424,0.222,1.213,0.503,1.052,1.516,0.002,0.022,4.3,0.465,0.862,0.002,0.015,4.005,0.022,0.002,1.423,0.069,0.019,0,0.889,0,0.156,0.137,3.608,0,0.001,0.062,0.012,0.08,2.446,0.001,0,0.03,0.044,0,0.001,0.232,1.927,0.148,0.075,0.897,0.036,0.209,0.741,0.444,0.152,0.074,0.343,0.001,0.005,0.162,0.001,0.251,1.862,0.003,0.003,0.006,1.462,0.023,0,0.117,0.218,0,0,0,0.002,0.107,0,0.048,0,0.04,0.041,0.001,0.075,0.002,0.028,0.04,0.025,0.054,0.086,0.001,0,0.065,0.001,0.004,0,0.084,0,0.002,0.008,0.001,0,0,0.002,0.002,0,0.004,0,0,0.001,0.006,0,0.001,0,0,0.001,47.93
S654,1.923,0.208,0.997,0.662,0.074,0.348,0.14,1.114,0.149,0.052,0.078,0.133,0,0.323,0.104,0.107,0.207,0.03,0.221,0.167,0.095,0,0.006,0.026,0.045,0.018,0.23,0.061,0,0.005,0,0,0,0,0.152,0.028,0.082,0.002,0.704,0.043,0.016,0.051,0.353,0.052,0.007,1.851,0,0.001,0.149,0,0,0.017,0.082,1.684,0.02,0.264,0.383,0,0,0,0,0.007,0,0.009,0,0.001,0.364,0.196,1.073,0.431,1.062,1.462,0.005,0.027,3.932,0.406,0.804,0.014,0.011,3.707,0.02,0.001,1.444,0.078,0.014,0,0.902,0,0.157,0.136,3.122,0,0.001,0.053,0.023,0.079,2.538,0,0,0.031,0.034,0,0,0.265,2.062,0.155,0.07,0.944,0.035,0.216,0.748,0.437,0.174,0.073,0.356,0,0.01,0.161,0.001,0.256,1.858,0.001,0.003,0.004,1.511,0.02,0,0.155,0.237,0,0,0,0.002,0.124,0,0.059,0,0.059,0.044,0.005,0.092,0.007,0.026,0.056,0.024,0.063,0.105,0.003,0,0.071,0,0.011,0,0.097,0,0.002,0.011,0,0,0,0.001,0.006,0,0.011,0,0.002,0.005,0.008,0,0,0,0,0,46.261
