sample_id,PCB1,PCB2,PCB3,PCB4,PCB5,PCB6,PCB7,PCB8,PCB9,PCB10,PCB11,PCB12.13,PCB14,PCB15,PCB16,PCB17,PCB18.30,PCB19,PCB20.28,PCB21.33,PCB22,PCB23,PCB24,PCB25,PCB26.29,PCB27,PCB31,PCB32,PCB34,PCB35,PCB36,PCB37,PCB38,PCB39,PCB40.71,PCB41,PCB42,PCB43,PCB44.47.65,PCB45,PCB46,PCB48,PCB49.69,PCB50.53,PCB51,PCB52,PCB54,PCB55,PCB56,PCB57,PCB58,PCB59.62.75,PCB60,PCB61.70.74.76,PCB63,PCB64,PCB66,PCB67,PCB68,PCB72,PCB73,PCB77,PCB78,PCB79,PCB80,PCB81,PCB82,PCB83,PCB84,PCB85.116,PCB86.97.109.119,PCB87.125,PCB88,PCB89,PCB90.101.113,PCB91,PCB92,PCB93.100,PCB94,PCB95,PCB96,PCB98,PCB99,PCB102,PCB103,PCB104,PCB105,PCB106,PCB107,PCB108.124,PCB110,PCB111,PCB112,PCB114,PCB115,PCB117,PCB118,PCB120,PCB121,PCB122,PCB123,PCB126,PCB127,PCB128.166,PCB129.138.163,PCB130,PCB131,PCB132,PCB133,PCB134,PCB135.151,PCB136,PCB137,PCB139.140,PCB141,PCB142,PCB143,PCB144,PCB145,PCB146,PCB147.149,PCB148,PCB150,PCB152,PCB153.168,PCB154,PCB155,PCB156.157,PCB158,PCB159,PCB160,PCB161,PCB162,PCB164,PCB165,PCB167,PCB169,PCB170,PCB171.173,PCB172,PCB174,PCB175,PCB176,PCB177,PCB178,PCB179,PCB180.193,PCB181,PCB182,PCB183,PCB184,PCB185,PCB186,PCB187,PCB188,PCB189,PCB190,PCB191,PCB192,PCB194,PCB195,PCB196,PCB197,PCB198.199,PCB200,PCB201,PCB202,PCB203,PCB205,PCB206,PCB207,PCB208,PCB209,tPCB
S644,16.61236671,3.62671383,20.30410447,8.365677052,1.996140213,9.693023914,3.180722958,37.26442624,3.553065016,0.692179235,6.209294224,6.978096149,0.001896066,21.54721871,8.981296408,7.188794812,16.3944176,1.324434517,28.17276301,19.33378924,12.19658587,0.005475781,0.2123784,2.260055234,4.957251728,1.231903258,33.33598787,6.162315931,0.077701699,0.476228744,0.002431954,6.301501857,0.213257432,0.005272062,29.7837207,5.062850673,15.54786178,2.050873931,130.7227484,7.592380658,2.75246007,11.24083529,72.76451174,8.693003704,1.378322275,369.5014754,0.04193664,0.376366744,23.77904629,0.030064246,0.005785471,3.30099351,14.0443461,285.0559426,3.690756289,54.77839329,67.02316117,0.887616304,0.018217243,0.179154832,0.478171252,1.228243939,0.005552007,0.007607185,0.004410811,0.019955742,30.24557795,16.01578374,109.3990345,37.14179896,84.26486146,125.4201868,0.407080506,4.075771719,367.466947,48.86636035,79.22442254,1.865957778,1.474115168,440.124054,2.506186456,0.243751276,135.4745593,10.58636884,2.107135609,0.003831842,43.61936134,0.013141895,8.44850061,7.274618814,258.6291029,0.010218751,0.083720583,3.203390278,1.554755783,6.780435979,137.8225373,0.011953479,0.003941893,1.797275643,2.457184055,0.005329066,0.01573673,8.334666168,77.99262525,6.207823009,3.85739205,49.03411544,1.82184869,12.26882606,51.27947831,36.60650763,6.978423416,4.795412058,15.35050045,0.02358495,0.584089782,10.67196937,0.213524413,12.47682343,114.3415954,0.141510191,0.338747603,0.468120494,70.10154764,1.611658705,0.001367662,3.561940545,8.966296045,0.003610775,0.010404684,0.003646248,0.019578778,4.222215793,0.004151387,1.568604004,0.005174529,0.79479496,1.150132343,0.254500419,2.760845914,0.271469576,1.240038598,1.550885713,0.876127311,3.150404093,2.198806323,0.050069257,0.054547618,2.406519518,0.117873532,0.293863537,0.003748027,3.794743145,0.070367134,0.011269935,0.228543781,0.031395771,0.002971089,0.068315524,0.015873793,0.146160675,0.007950438,0.46194419,0.017081915,0.039621847,0.065439847,0.207581791,0.011062643,0.082495355,0.071837683,0.10022686,0.060208305,3896.088025
S646,19.10202017,3.845162791,19.08352626,9.607689269,1.711251927,9.258175323,3.110475476,33.94346311,3.450220504,0.753199329,4.856881261,5.021941912,0.009260097,14.98192405,7.073990913,6.839605846,16.90414724,1.228334788,21.37382367,14.62167923,8.635296831,0.007369179,0.311196209,1.861990755,3.717648603,1.145276045,24.31152806,5.178990085,0.004789325,0.234624604,0.002579501,4.181826616,0.10712511,0.006399041,19.2787713,3.099325955,10.39420855,1.279503316,88.96683365,5.401845807,1.897966025,7.96091258,49.26346599,6.133581968,0.748284435,243.8636829,0.003382043,0.047566446,11.95921424,0.004858567,0.003163745,2.029068826,6.921107652,147.1479898,2.089084401,36.28421193,35.07851813,0.287337415,0.003693718,0.005381409,0.544772997,0.475477553,0.004842259,0.006390627,0.008351501,0.00496169,15.06572656,7.667190862,59.62785652,18.27059471,46.53786831,66.85299581,0.154573072,2.258841344,187.0717571,26.61744495,43.38435715,1.284947107,0.753887432,254.3363253,1.917659477,0.096404795,79.25672866,6.302682094,1.262391295,0.012848313,20.07558495,0.008761244,3.982102936,3.992600431,130.2697586,0.006079322,0.025564827,1.673044701,0.427521966,3.055423803,68.42318163,0.007274565,0.003234413,0.937812745,0.982707398,0.005513411,0.011474299,3.89778276,36.93142595,3.098947146,2.035554919,25.7285603,0.934954972,6.534665207,26.7086419,20.19933227,3.573384706,2.466153742,8.064364788,0.00544963,0.317747683,5.383297967,0.069751668,6.198569274,57.93370395,0.079412762,0.239049024,0.243282748,35.52710341,0.812136466,0.00111696,1.666482571,4.198762692,0.003212856,0.006353556,0.004344749,0.008487366,2.236147158,0.002638044,0.749406524,0.005538436,0.134268809,0.536650031,0.111321561,1.223236403,0.04298428,0.652852927,0.656956393,0.405886855,1.52293299,1.06115069,0.010306306,0.042931106,1.119204793,0.098426204,0.09573824,0.007714979,1.645991958,0.049722706,0.017398606,0.025149136,0.005619596,0.00458679,0.022143527,0.008575449,0.009668562,0.010737601,0.202763149,0.004614055,0.027242455,0.105047018,0.141825703,0.008964505,0.009817313,0.005382706,0.018196993,0.066483171,2246.28015
S647,17.30861764,3.565832375,18.74049036,7.468538216,1.699881515,8.719735517,2.660724735,30.42450738,3.0250294,0.544935514,5.03935192,5.121347313,0.001715841,16.71260822,7.530247572,6.525699811,15.25578373,1.075718143,22.47615896,15.78298807,9.998427393,0.008868538,0.289196541,1.896230959,3.852478025,0.995799075,27.14904384,4.893685529,0.053553895,0.316783561,0.002925476,6.025228661,0.20852116,0.005560433,23.87538903,3.798432307,11.8096233,1.574117032,99.72810724,5.880114057,1.991974127,9.177462539,59.2146503,6.578442919,0.86335015,299.1454125,0.038081743,0.202039165,15.66519088,0.013562636,0.012132012,2.71064816,9.135819189,200.3820253,2.711073091,50.12631399,50.37619809,0.704719189,0.010767436,0.045835936,0.164377272,0.597667044,0.017057855,0.00575999,0.007128632,0.014523261,23.9366388,11.55798741,90.24188761,30.39754706,63.0488711,96.19417603,0.227647347,2.938581034,335.2803527,39.29043578,66.01904914,1.642799988,1.392868085,391.2774749,2.196502837,0.205198424,109.6746048,9.212808022,1.867397504,0.002976563,33.08515381,0.00835762,6.702100898,6.159809746,206.5029398,0.009366313,0.032725587,2.78709573,0.721701905,5.41039831,115.2282652,0.010988899,0.00477907,1.58552917,1.624560351,0.00415808,0.022580259,7.49854221,71.11692229,5.503909254,3.500293462,43.78792847,1.716912242,10.74654111,44.66912743,31.17734033,6.315885967,4.068497846,13.86593675,0.01039373,0.683004808,9.296066255,0.193860801,10.78707691,100.759871,0.150632428,0.286416688,0.425543943,60.81921147,1.473911271,0.005085473,3.163954064,7.93834818,0.002456761,0.01041687,0.002267272,0.024087683,4.202570356,0.006457666,1.579117734,0.006211089,0.731783411,1.072762699,0.087822653,2.272175202,0.283767257,1.035656546,1.490383229,0.712880036,2.537407129,1.953032334,0.040455405,0.093981051,1.996090419,0.083110825,0.113167628,0.002523638,3.22882009,0.048794214,0.002845618,0.191629184,0.006893326,0.00300076,0.070183786,0.042711172,0.070044459,0.005834188,0.356639136,0.029248436,0.102204055,0.214036669,0.2090771,0.008117984,0.009661975,0.007946304,0.040935008,0.057960048,3223.46891
S652,10.08676517,1.617698991,6.881912917,6.476706826,1.033056321,3.914117177,1.327887676,15.35399316,1.540160128,0.454622065,5.288829615,1.377657451,0.041042426,4.105663725,4.537782164,4.447194217,9.820348201,0.938765817,12.68866926,8.395668034,5.019966747,0.014123834,0.142061721,0.992723636,2.093893854,0.64167823,13.86732886,3.223766335,0.017545275,0.147412474,0.000620792,1.709060695,0.002435459,0.003412895,7.186750039,1.671732351,4.451723181,0.56624306,27.64319145,2.832525408,0.9498078,3.407876647,16.72408543,2.953658274,0.565593358,71.52864486,0.066612682,0.061720203,5.979366398,0.023938456,0.009988843,1.228269785,3.293548872,53.4261443,0.777692571,11.34241433,15.53565928,0.328899847,0.035752314,0.091898889,0.171219383,0.414567882,0.001787715,0.00442238,0.005295096,0.003516352,12.55268117,5.05107602,26.30060012,13.46096086,26.28590518,34.29330908,0.038617177,1.063870249,97.04872024,11.02892667,19.55881727,0.415823723,0.351644444,92.70495924,0.663500174,0.0459978,31.37362375,2.162924214,0.52066603,0.045500818,27.35892675,0.00389314,4.26525511,3.505330671,92.76101467,0.001740702,0.016926626,1.756190949,1.21627739,2.147806161,70.88626054,0.008455243,0.00830473,1.062578063,1.092896531,0.003790632,0.003331697,7.860072142,63.37953275,4.838904883,2.099364074,32.28313452,1.095453462,6.572302479,21.38821091,11.70304051,4.847591702,2.078128782,11.3327094,0.005314762,0.22566793,4.272404408,0.081758618,7.37267489,56.79574202,0.081561063,0.122122982,0.170602404,45.84533725,0.57255617,0.035188678,3.323906793,6.799346376,0.004844486,0.003436025,0.005303897,0.133313067,3.673811958,0.004225766,1.407672191,0.002256846,1.048485389,1.257296633,0.310614055,2.918103544,0.27198901,0.973085403,1.727283374,0.797021518,2.389295461,2.466217311,0.241046703,0.271934667,2.310823653,0.290569078,0.366377676,0.050159259,3.535266301,0.186726546,0.032403188,0.187868197,0.025867257,0.001827686,0.033377492,0.032905919,0.087153784,0.010123575,0.192543469,0.062463713,0.119796386,0.187439559,0.118389538,0.021524251,0.013760458,0.019586928,0.009059879,0.101189763,1265.643294
S669,2.091338814,0.423881356,2.269699724,0.942545088,0.191981155,0.83350688,0.274839068,3.208934166,0.32823184,0.103083682,1.211134999,0.74322496,0.040688,2.258037134,0.750874391,0.585896669,1.301584682,0.136695689,3.163511203,2.268273672,1.508827863,0.023406158,0.046505018,0.266298661,0.47712739,0.115876676,3.452576098,0.507674345,0.028008281,0.102792002,0.010545207,1.410746306,0.011891549,0.005085573,4.051976756,0.648019455,2.13293526,0.131856601,14.04835652,0.547199806,0.258976534,1.198309862,6.373590741,0.684932445,0.1508794,29.54595449,0.051242757,0.077969112,6.175062629,0.016785168,0.003591583,0.486862593,3.577353297,53.57999327,0.628722128,6.574446521,15.43395348,0.201878124,0.062555403,0.043139496,0.20328846,0.003606045,0.001994079,0.002725275,0.001510731,0.001703711,9.832206938,4.506085221,21.2104978,11.69572873,23.52336942,30.06108523,0.02715412,0.782881116,85.26559995,8.340439906,16.1557212,0.022821358,0.22101947,69.64567209,0.324096577,0.029112948,28.13461893,1.423618431,0.291775437,0.015201164,15.72456231,0.00197748,3.130012769,2.59458703,77.00062353,0.001990729,0.009064728,1.292080458,0.324540191,1.543565471,51.43408908,0.002492738,0.000733573,0.651403115,0.818072271,0.001351155,0.005416202,3.351928618,30.97083282,2.497811518,1.305011629,18.94056847,0.7084142,4.331030731,16.99217642,9.011839467,2.694895386,1.528558177,6.370599349,0.003045531,0.159044488,3.380131816,0.057926611,4.616732275,41.25041007,0.067382101,0.081086744,0.108879942,28.58945093,0.450311709,0.026501295,1.116355756,3.38139671,0.01546969,0.001205974,0.001698649,0.007441038,1.711804004,0.001224568,0.513386587,0.000941523,0.354523733,0.54343451,0.126441106,1.557699954,0.157539823,0.693685476,0.8219197,0.590708097,2.058648453,1.020956439,0.074630959,0.130420731,1.346260467,0.136034769,0.218374837,0.031747984,2.392685933,0.09410732,0.01795435,0.046242769,0.016810283,0.001121767,0.042298879,0.035185817,0.07679961,0.030955781,0.175733817,0.069798768,0.110761668,0.176756064,0.107760959,0.037605977,0.007577725,0.006157083,0.006997797,0.102365737,841.7061648
S671,56.20200595,5.613597122,28.03322183,20.29533336,1.971505696,10.42942494,3.842201857,36.80148821,4.515128751,1.540250583,5.608556567,3.364329555,0.039581714,8.778027754,6.430395299,6.268853338,15.12138609,1.689055689,14.84268164,10.14870738,5.765926696,0.046458966,0.247245013,1.264849576,2.914251634,0.909116701,17.69367283,4.19132465,0.065867093,0.360722351,0.001179356,2.535282987,0.001947734,0.003985401,13.81863439,2.560379107,7.805761673,1.184898105,59.46229593,4.127015192,1.532482101,5.774120271,31.89392229,4.749982324,0.847770479,158.6370093,0.05675938,0.270783445,10.34789801,0.129156892,0.000690743,1.940168233,5.585051549,110.459975,1.53991931,22.84541136,29.63473411,0.625741624,0.094863234,0.189120755,0.708416425,0.532151513,0.008755105,0.006860884,0.00231817,0.004646091,16.60439433,9.87907915,60.67488814,20.98467962,47.81022106,55.42667214,0.089053687,2.233162266,200.7490821,27.34316853,42.61355541,0.174085747,0.895374096,241.4877275,1.711436141,0.059357337,62.80579981,5.194612288,1.273370232,0.025872823,19.75842804,0.008138707,4.514813418,3.942846749,133.0353497,0.004792595,0.033892498,1.797984677,0.119779993,3.321968494,70.15768364,0.041953764,0.001849712,0.979021019,1.189034866,0.002178659,0.001699477,4.66406352,44.87643822,3.663731513,2.389091043,29.78373036,1.068894483,7.88451131,31.80840029,22.59011929,3.986794004,2.857019412,9.096291823,0.05470076,0.349595476,6.294687812,0.12976496,7.048513145,70.92599806,0.130507451,0.222367637,0.30788258,40.793819,0.912404021,0.016389729,1.752863684,4.844622065,0.005257565,0.006093592,0.002968051,0.011193532,2.618128337,0.002421363,0.841334352,0.000532459,0.495806761,0.739972539,0.115359615,1.740861789,0.183783401,0.906671392,1.036999751,0.614551825,2.473079656,1.292969363,0.163122438,0.212773607,1.593528608,0.212455379,0.168116078,0.037922181,2.398408482,0.145220385,0.003277228,0.034331019,0.005137248,0.002722343,0.035343759,0.021696316,0.021472513,0.008110087,0.109707741,0.042973389,0.067409821,0.130403396,0.065169361,0.009421501,0.006752702,0.005364803,0.012702789,0.104541298,2109.021537
S651,11.90713144,1.71725434,8.74469938,5.542498194,0.818951532,3.780551707,1.282208519,14.07576253,1.388567979,0.458699673,2.056620346,0.977970034,0.003468264,3.412327594,2.903816909,2.910022171,7.294198908,0.844053079,8.049917649,5.589907603,3.180840336,0.014063488,0.054350644,0.704584461,1.191647466,0.353019707,9.004041983,1.99719947,0.010742324,0.007712542,0.003285321,1.132411966,0.003065599,0.035288528,6.095285449,1.149352931,3.351852336,0.04849413,22.25843914,1.855751932,0.485193817,2.463360271,11.19764451,1.769369988,0.411010433,55.32018257,0.018807526,0.007816536,5.354513943,0.008060123,0.007752999,0.765016943,2.947165546,46.42120917,0.008476967,9.16149658,12.3089733,0.021362469,0.008318039,0.007876882,0.128317967,0.133016006,0.010170763,0.030815226,0.00683749,0.019559734,9.856809702,3.081273607,22.44897094,9.582154592,18.90648819,29.25815771,0.23600215,0.937290145,64.12767659,8.551561927,13.94888142,0.060343578,0.218682007,65.88727688,0.172598032,0.01449619,34.46632917,2.037068155,0.267682968,0.006744282,14.89225881,0.009319743,2.079060579,1.955277344,77.12975125,0.010611133,0.00860986,0.745514043,0.733317831,1.527638785,35.10413159,0.00953495,0.008397666,0.552318131,0.558192781,0.010802351,0.008942232,4.496016584,36.91337001,3.006430218,1.544020704,23.96390186,0.65161113,5.011611789,25.52773462,14.76803196,3.218559555,1.596390332,8.470149538,0.047611665,0.299640404,4.705117741,0.087064878,6.504957879,45.42531278,0.010919472,0.073996797,0.13178985,40.39474198,0.64635946,0.019409971,1.4420116,4.171383053,0.007465556,0.049198206,0.004005195,0.066539947,2.094082029,0.00348817,0.741555742,0.012746885,0.136927521,0.638035645,0.08400281,1.569215478,0.102716396,0.962874754,1.007422467,0.586202092,2.109581065,0.889,0.114359237,0.06762931,1.815445284,0.035206596,0.197274587,0.0091232,2.577629228,0.010116074,0.026952341,0.032582384,0.008646325,0.008897613,0.013549985,0.016954352,0.008823285,0.005851511,0.010150818,0.006026575,0.014271641,0.007002152,0.008428218,0.019112133,0.011484904,0.010266771,0.009823987,0.010126841,953.8914919
S653,12.98985634,1.877132336,9.614173389,7.22907008,1.017241249,4.208231452,1.480438724,16.55653618,1.746733321,0.661179891,3.495940915,1.22864032,0.003651126,3.764355989,3.407846313,3.443082278,8.471646669,0.851228068,9.665283396,6.63062566,4.039490356,0.031139775,0.178288487,0.783522309,1.442393123,0.410572145,11.03116211,2.311339637,0.014095384,0.041744578,0.009699264,1.825651714,0.06335405,0.006945497,6.969261857,1.042537628,4.169619269,0.062839029,24.10781713,2.346710588,0.359267144,2.479459535,13.91226034,2.188179731,0.203773626,63.58299802,0.006498913,0.03241191,7.111627683,0.00835549,0.008037112,0.793051389,4.205567976,58.76733195,0.597557449,10.34609139,16.51501744,0.029527076,0.008622859,0.008165536,0.062597763,0.119505054,0.021086952,0.015972234,0.007088054,0.010138255,12.03218225,3.325122259,27.02839359,13.81040843,24.4751596,39.73095628,0.187808054,0.239420114,86.90671302,10.55215228,16.80017253,0.371360787,0.246535226,81.40410336,0.518884265,0.153812227,47.95303648,2.413867427,0.440239927,0.00715604,24.7049703,0.009888739,3.384438809,2.672152392,95.78446914,0.011258971,0.018271029,1.389846672,0.622471143,1.771687289,52.88379228,0.010117085,0.008910368,0.729784031,0.76149258,0.011461864,0.00948818,7.731410767,58.86358727,4.702820167,2.168990603,33.48817013,1.118766185,7.064367478,33.20277611,18.56001397,5.295464793,2.308236587,12.73050467,0.071835149,0.351729356,6.286478192,0.0042864,10.46209246,64.07552079,0.023943091,0.090533607,0.185021612,61.39008076,0.689732121,0.003527562,3.278237156,6.936020595,0.006486107,0.031294435,0.042668126,0.015255471,3.421905999,0.001948204,1.360040404,0.005220859,0.137713106,0.618553062,0.029569664,2.731615059,0.117510237,1.374693764,1.618921043,1.04353053,2.945501368,1.507778405,0.032204297,0.015870707,3.242375602,0.015933863,0.113632755,0.019268637,4.068264176,0.042731273,0.056924641,0.008601946,0.009130729,0.009396095,0.014293636,0.017884839,0.018615047,0.006172653,0.042831656,0.01271465,0.045164691,0.118183079,0.008890775,0.010080523,0.023726618,0.01060504,0.010147666,0.040499676,1260.121752
S615,120.8542594,15.68710082,82.48901653,59.58239705,6.128358954,30.77371423,11.20128266,110.5170864,12.96085461,4.179708577,3.716684045,8.374481542,0.006101649,25.05769751,11.23163709,10.61601853,30.44352416,4.764333442,24.23726231,17.50538921,10.40815628,0.003616454,0.607506209,2.594572256,4.997968434,1.521797526,36.42334336,7.092183813,0.077347449,0.372859363,0.003379305,7.537456945,0.015766485,0.003629804,47.4661841,4.754083217,22.65117653,0.176610891,272.6816635,9.072701152,2.634662987,13.41255818,145.4268898,18.83380029,0.58788084,904.7079196,0.040856771,0.142806204,104.1538832,0.161205207,0.019616359,3.758196388,46.53971438,850.4332503,7.52708106,101.7591882,173.1703708,1.250416071,0.009748581,0.02294947,0.226447349,15.99463518,0.033643188,0.240315631,0.010260155,0.047239816,1107.94004,194.2871557,676.2371346,668.7347376,1125.986305,2462.541387,6.803146078,18.80455391,2799.533694,161.2770387,458.4992084,3.009888988,3.891041762,1729.314131,6.582676028,0.142508168,1360.728116,32.599093,4.819087792,0.063868153,6554.930818,0.066776991,477.2236686,370.5112781,8019.280719,0.086025488,0.220705652,197.3530107,28.83776766,84.25457625,10442.99995,0.087238071,0.009425263,133.5480924,112.3368565,0.318152062,0.067746141,3671.741019,21866.95798,1337.689487,288.8922939,6136.894326,183.3192673,876.2785166,2976.051571,1041.644532,1355.22025,224.1902742,3276.791777,0.636086822,27.93895986,561.0504122,2.554209891,2034.783836,7474.664038,3.903482397,3.104197797,5.432622936,14852.49376,46.16613989,0.003272554,2970.154198,2401.325356,1.190596018,0.832644348,0.088009891,106.4508859,1120.427703,0.244250598,883.0202876,0.202635284,771.6217228,730.8428722,146.2983488,1027.191654,74.83423888,179.6658038,826.409421,164.822525,300.0401295,1232.209099,58.84042677,17.00507399,1005.125768,1.147941206,72.34327996,1.555623009,1033.593933,0.82782534,38.29007923,129.331977,36.73117144,0.02697902,35.91544444,26.46564783,23.92505688,3.320968649,39.56095287,10.36065526,11.67748303,12.3273719,27.59359034,2.044908661,2.876017323,0.954933868,2.068487896,0.162564202,126434.2109
S613,3.54943808,0.294533203,1.820845832,1.515425478,0.325308562,0.805824687,0.1870252,2.654545018,0.310129121,0.112105042,1.968677841,0.316489044,0.00303579,1.050956962,0.50593359,0.416733822,0.974415604,0.150115994,1.404120668,0.986649523,0.536403972,0.007266519,0.014497001,0.136333324,0.172478366,0.04274962,1.367730942,0.312558274,0.007359954,0.015715798,0.00358648,0.389752694,0.003346514,0.003856923,1.431391927,0.16098907,0.500719129,0.060075132,4.359771598,0.247612837,0.029606744,0.263129228,2.329316613,0.209472774,0.068299489,10.38829624,0.01496992,0.010469109,2.443136541,0.020124055,0.019403111,0.045963053,0.978289918,19.23844253,0.235039828,1.761173527,6.047438126,0.009028005,0.009378257,0.009722752,0.057726647,0.222365585,0.035590859,0.05176678,0.025819329,0.013062692,9.658041983,3.618304539,12.69632711,8.789496981,15.60081706,24.8159466,0.163613486,0.326730992,47.3446991,4.085988034,8.88423055,0.033620557,0.040197202,33.71928407,0.121619167,0.257235585,17.20691057,0.567395192,0.142842564,0.009324561,34.47499581,0.030969366,4.735634256,3.541440363,69.9197146,0.012234665,0.034107335,1.649226458,0.176250211,0.856842171,74.4956725,0.028730477,0.011631385,0.937882106,1.173635514,0.052825539,0.07600846,13.95482957,89.33687681,6.387396669,1.43024205,31.36885638,1.020993174,4.84935733,14.04515176,6.644973251,6.089154055,1.691774326,13.39336714,0.008181854,0.144172474,3.247152343,0.021021661,7.962109877,42.71682685,0.011502842,0.028416318,0.00759818,51.41987468,0.36283313,0.007958468,8.406791162,10.01290369,0.037824897,0.0086668,0.004317587,0.039941264,4.990787596,0.009813878,3.178604948,0.012333464,2.997400237,2.109386369,0.403238978,4.260138942,0.198971733,0.648962869,2.880722326,0.711384541,1.647811268,5.840346434,0.10557075,0.006745294,3.194127616,0.038039787,0.182536122,0.010350968,4.239405439,0.018105505,0.028412079,0.722122777,0.114530857,0.034670641,0.074855573,0.142012537,0.19622138,0.015873868,0.269456258,0.040033481,0.044280833,0.01462268,0.161682735,0.044967037,0.097724805,0.019039857,0.027566834,0.056841409,808.4047313
