sample_id,sample_type,room_id,materials,school_id,sampling_round,remediation,sampling_start_date,sampling_end_date,remediation_method
S620,Air,Utility,Air,SCH A,1,Before,10/21/2023,11/17/2023,NA
S648,Air,D611,Air,SCH A,1,Before,10/21/2023,11/17/2023,NA
S649,Air,D611,Air,SCH A,1,Before,10/21/2023,11/17/2023,NA
S652,Emissions,D611,Mastic,SCH A,1,Before,10/21/2023,11/17/2023,NA
S669,Emissions,D611,CMU Wall,SCH A,1,Before,10/21/2023,11/17/2023,NA
S671,Emissions,D611,Carpet,SCH A,1,Before,10/21/2023,11/17/2023,NA
S650,Air,D611,Air,SCH A,1,Before,10/21/2023,11/17/2023,NA
S651,Emissions,D611,Mastic,SCH A,1,Before,10/21/2023,11/17/2023,NA
S653,Emissions,D611,Mastic,SCH A,1,Before,10/21/2023,11/17/2023,NA
S660,Emissions,Utility,Fireproof Coating,SCH A,1,Before,10/21/2023,11/17/2023,NA
S661,Emissions,Utility,CMU Wall,SCH A,1,Before,10/21/2023,11/17/2023,NA
S662,Air,Utility,Air,SCH A,1,Before,10/21/2023,11/17/2023,NA
S663,Air,Utility,Air,SCH A,1,Before,10/21/2023,11/17/2023,NA
S664,Air,Utility,Air,SCH A,1,Before,10/21/2023,11/17/2023,NA
S624,Air,Gym,Air,SCH A,1,Before,10/21/2023,11/17/2023,NA
S626,Air,Gym,Air,SCH A,1,Before,10/21/2023,11/17/2023,NA
S632,Emissions,Gym,Steel Beam,SCH A,1,Before,10/21/2023,11/17/2023,NA
S622,Emissions,Gym,CMU Wall,SCH A,1,Before,10/21/2023,11/17/2023,NA
S623,Emissions,Gym,Fireproof Coating,SCH A,1,Before,10/21/2023,11/17/2023,NA
S633,Emissions,Gym,Steel Beam,SCH A,1,Before,10/21/2023,11/17/2023,NA
S635,Air,Gym,Air,SCH A,1,Before,10/21/2023,11/17/2023,NA
S667,Emissions,Gym,Rubber Floor,SCH A,1,Before,10/21/2023,11/17/2023,NA
S627,Emissions,Gym,Fireproof Coating,SCH A,1,Before,10/21/2023,11/17/2023,NA
S628,Emissions,Gym,Fireproof Coating,SCH A,1,Before,10/21/2023,11/17/2023,NA
S629,Emissions,Gym,CMU Wall,SCH A,1,Before,10/21/2023,11/17/2023,NA
S630,Emissions,Gym,Steel Beam,SCH A,1,Before,10/21/2023,11/17/2023,NA
S634,Air,Gym,Air,SCH A,1,Before,10/21/2023,11/17/2023,NA
S670,Field Blank,D611,Blank,SCH A,1,Before,4/17/2025,5/16/2025,NA
S631,Field Blank,Utility,Blank,SCH A,1,Before,4/17/2025,5/16/2025,NA
S665,Field Blank,Utility,Blank,SCH A,1,Before,4/17/2025,5/16/2025,NA
S625,Field Blank,Gym,Blank,SCH A,1,Before,4/17/2025,5/16/2025,NA
S686,Lab Blank,uiLab,Blank,SCH A,1,Before,NA,NA,NA
S688,Lab Blank,uiLab,Blank,SCH A,1,Before,NA,NA,NA
S687,Lab Blank,uiLab,Blank,SCH A,1,Before,NA,NA,NA
S689,Lab Blank,uiLab,Blank,SCH A,1,Before,NA,NA,NA
S690,Lab Blank,uiLab,Blank,SCH A,1,Before,NA,NA,NA
S691,Lab Blank,uiLab,Blank,SCH A,1,Before,NA,NA,NA
S692,Lab Blank,uiLab,Blank,SCH A,1,Before,NA,NA,NA
S693,Lab Blank,uiLab,Blank,SCH A,1,Before,NA,NA,NA
S694,Lab Blank,uiLab,Blank,SCH A,1,Before,NA,NA,NA
S696,Lab Blank,uiLab,Blank,SCH A,1,Before,NA,NA,NA
S697,Lab Blank,uiLab,Blank,SCH A,1,Before,NA,NA,NA
S698,Lab Blank,uiLab,Blank,SCH A,1,Before,NA,NA,NA
S699,Lab Blank,uiLab,Blank,SCH A,1,Before,NA,NA,NA
S700,Lab Blank,uiLab,Blank,SCH A,1,Before,NA,NA,NA
S701,Lab Blank,uiLab,Blank,SCH A,1,Before,NA,NA,NA
S684,Lab Blank,uiLab,Blank,SCH A,1,Before,NA,NA,NA
S685,Lab Blank,uiLab,Blank,SCH A,1,Before,NA,NA,NA
S818,Emissions,Gym,Steel Column,SCH A,2,After,4/17/2025,5/16/2025,srcRmEncap
S819,Emissions,Gym,Steel Column,SCH A,2,After,4/17/2025,5/16/2025,srcRmEncap
S820,Emissions,Gym,Steel Column,SCH A,2,After,4/17/2025,5/16/2025,srcRmEncap
S821,Emissions,Gym,CMU Wall,SCH A,2,After,4/17/2025,5/16/2025,surfaceRm
S822,Emissions,Gym,CMU Wall,SCH A,2,After,4/17/2025,5/16/2025,surfaceRm
S814,Emissions,Utility,Steel Column,SCH A,2,After,4/17/2025,5/16/2025,srcRmEncap
S816,Emissions,Utility,Steel Column,SCH A,2,After,4/17/2025,5/16/2025,srcRmEncap
S817,Emissions,Utility,Steel Column,SCH A,2,After,4/17/2025,5/16/2025,srcRmEncap
S792,Air,Utility,Air,SCH A,2,After,4/17/2025,5/16/2025,NA
S778,Emissions,Utility,CMU Wall,SCH A,2,After,4/17/2025,5/16/2025,NA
S813,Emissions,Gym,Fireproof Coating,SCH A,2,Before,4/17/2025,5/16/2025,NA
S812,Emissions,Gym,CMU Wall,SCH A,2,After,4/17/2025,5/16/2025,surfaceRm
S786,Emissions,D611,CMU Wall,SCH A,2,After,4/17/2025,5/16/2025,renovated
S787,Emissions,D611,Cove Base,SCH A,2,After,4/17/2025,5/16/2025,renovated
S783,Air,D611,Air,SCH A,2,After,4/17/2025,5/16/2025,NA
S784,Air,D611,Air,SCH A,2,After,4/17/2025,5/16/2025,NA
S785,Air,D611,Air,SCH A,2,After,4/17/2025,5/16/2025,NA
S788,Emissions,D611,Floor Tile,SCH A,2,After,4/17/2025,5/16/2025,renovated
S789,Emissions,D611,Drywall,SCH A,2,After,4/17/2025,5/16/2025,renovated
S777,Air,Gym,Air,SCH A,2,After,4/17/2025,5/16/2025,NA
S791,Air,Gym,Air,SCH A,2,After,4/17/2025,5/16/2025,NA
S763,Emissions,dWing,Fireproof Coating,SCH A,2,Before,4/17/2025,5/16/2025,NA
S765,Emissions,dWing,Fireproof Coating,SCH A,2,Before,4/17/2025,5/16/2025,NA
S766,Emissions,dWing,Fireproof Coating,SCH A,2,Before,4/17/2025,5/16/2025,NA
S767,Emissions,dWing,Fireproof Coating,SCH A,2,Before,4/17/2025,5/16/2025,NA
S815,Field Blank,Gym,Blank,SCH A,2,After,4/17/2025,5/16/2025,NA
S811,Field Blank,Utility,Blank,SCH A,2,After,4/17/2025,5/16/2025,NA
S790,Field Blank,D611,Blank,SCH A,2,After,4/17/2025,5/16/2025,NA
S760,Field Blank,dWing,Blank,SCH A,2,After,4/17/2025,5/16/2025,NA
S873,Lab Blank,uiLab,Blank,SCH A,2,After,NA,NA,NA
S874,Lab Blank,uiLab,Blank,SCH A,2,After,NA,NA,NA
S880,Lab Blank,uiLab,Blank,SCH A,2,After,NA,NA,NA
S857,Lab Blank,uiLab,Blank,SCH A,2,After,NA,NA,NA
S858,Lab Blank,uiLab,Blank,SCH A,2,After,NA,NA,NA
S859,Lab Blank,uiLab,Blank,SCH A,2,After,NA,NA,NA
S860,Lab Blank,uiLab,Blank,SCH A,2,After,NA,NA,NA
S870,Lab Blank,uiLab,Blank,SCH A,2,After,NA,NA,NA
S411,Lab Blank,uiLab,Blank,SCH O,1,Before,NA,NA,NA
S412,Lab Blank,uiLab,Blank,SCH O,1,Before,NA,NA,NA
S409,Lab Blank,uiLab,Blank,SCH O,1,Before,NA,NA,NA
S410,Lab Blank,uiLab,Blank,SCH O,1,Before,NA,NA,NA
S482,Lab Blank,uiLab,Blank,SCH O,1,Before,NA,NA,NA
S485,Lab Blank,uiLab,Blank,SCH O,1,Before,NA,NA,NA
S480,Lab Blank,uiLab,Blank,SCH O,1,Before,NA,NA,NA
S481,Lab Blank,uiLab,Blank,SCH O,1,Before,NA,NA,NA
S478,Lab Blank,uiLab,Blank,SCH O,1,Before,NA,NA,NA
S479,Lab Blank,uiLab,Blank,SCH O,1,Before,NA,NA,NA
S318,Air,Mezzanine,Air,SCH O,1,Before,4/23/2023,5/22/2023,NA
S322,Air,Mezzanine,Air,SCH O,1,Before,4/23/2023,5/22/2023,NA
S315,Air,Mezzanine,Air,SCH O,1,Before,4/23/2023,5/22/2023,NA
S312,Air,Boilers,Air,SCH O,1,Before,4/23/2023,5/22/2023,NA
S320,Air,Boilers,Air,SCH O,1,Before,4/23/2023,5/22/2023,NA
S321,Air,Boilers,Air,SCH O,1,Before,4/23/2023,5/22/2023,NA
S507,Emissions,Boilers,CMU Wall,SCH O,1,Before,4/23/2023,5/22/2023,NA
S508,Emissions,Boilers,Fireproof Coating,SCH O,1,Before,4/23/2023,5/22/2023,NA
S383,Air,Gym,Air,SCH O,1,Before,4/23/2023,5/22/2023,NA
S389,Emissions,Gym,Joint Sealant,SCH O,1,Before,4/23/2023,5/22/2023,NA
S390,Emissions,Gym,Joint Sealant,SCH O,1,Before,4/23/2023,5/22/2023,NA
S391,Emissions,Gym,Gym Mat,SCH O,1,Before,4/23/2023,5/22/2023,NA
S392,Emissions,Gym,Gym Floor,SCH O,1,Before,4/23/2023,5/22/2023,NA
S503,Field Blank,Boilers,Blank,SCH O,1,Before,4/23/2023,5/22/2023,NA
S393,Field Blank,Gym,Blank,SCH O,1,Before,4/23/2023,5/22/2023,NA
S881,Lab Blank,uiLab,Blank,SCH O,2,After,NA,NA,NA
S882,Lab Blank,uiLab,Blank,SCH O,2,After,NA,NA,NA
S877,Lab Blank,uiLab,Blank,SCH O,2,After,NA,NA,NA
S878,Lab Blank,uiLab,Blank,SCH O,2,After,NA,NA,NA
S875,Lab Blank,uiLab,Blank,SCH O,2,After,NA,NA,NA
S876,Lab Blank,uiLab,Blank,SCH O,2,After,NA,NA,NA
S879,Lab Blank,uiLab,Blank,SCH O,2,After,NA,NA,NA
S795,Emissions,Mezzanine,Insulation,SCH O,2,After,4/16/2025,5/14/2025,srcRmEncap
